date,01-unknown,01-unknown-cumulative,02-export-tenths-watt,02-export-tenths-watt-cumulative,03-unknown,03-unknown-cumulative,04-unknown,04-unknown-cumulative,09-unknown,09-unknown-cumulative,10-also-export-tenths-watt,10-also-export-tenths-watt-cumulative,13-unknown,14-unknown,21-unknown,21-unknown-cumulative,22-unknown,22-unknown-cumulative,23-unknown,23-unknown-cumulative,24-unknown,24-unknown-cumulative,29-unknown,29-unknown-cumulative,30-unknown,30-unknown-cumulative,31-unknown,32-unknown,33-unknown,36864-unknown,41-unknown,41-unknown-cumulative,42-unknown,42-unknown-cumulative,43-unknown,43-unknown-cumulative,44-unknown,44-unknown-cumulative,49-unknown,49-unknown-cumulative,50-unknown,50-unknown-cumulative,51-unknown,52-unknown,53-unknown,61-unknown,61-unknown-cumulative,62-unknown,62-unknown-cumulative,63-unknown,63-unknown-cumulative,64-unknown,64-unknown-cumulative,69-unknown,69-unknown-cumulative,70-unknown,70-unknown-cumulative,71-unknown,72-unknown,73-unknown,uptime-millis
2023-06-04 09:12:00.047960,0,63068109480,70054,53582784120,9039,25735641120,0,13824281520,0,75456350280,70635,58363354080,992,50006,0,30291592680,25413,20797244280,2638,14019298920,0,1214175600,0,33096908160,25550,22107780720,10797,236690,995,0,0,24967402560,25117,23199169320,5270,8864685000,0,7048371240,0,30005929800,25663,23871473640,10587,243509,979,0,22961136240,19524,24738394680,1132,5568315480,0,8278391520,0,28122132600,19557,25343223120,8234,239034,998,2242739996
2023-06-04 09:13:00.036132,0,63068109480,69098,53583202800,13996,25735717440,0,13824281520,0,75456350280,70501,58363780320,980,50034,0,30291592680,25421,20797396560,3116,14019318000,0,1214175600,0,33096908160,25612,22107934080,10807,237086,993,0,0,24967402560,24070,23199316920,9476,8864732880,0,7048371240,0,30005929800,25868,23871630600,10772,243344,930,0,22961136240,19607,24738513840,1403,5568324480,0,8278391520,0,28122132600,19657,25343342640,8270,239246,997,2242799986
2023-06-04 09:14:00.017039,0,63068109480,71804,53583622920,13708,25735792320,0,13824281520,0,75456350280,73100,58364207640,982,50049,0,30291592680,26307,20797549920,3261,14019337440,0,1214175600,0,33096908160,26509,22108088880,11158,237666,992,0,0,24967402560,25128,23199464880,8888,8864778960,0,7048371240,0,30005929800,26654,23871787560,11082,243124,943,0,22961136240,20368,24738632280,1560,5568333480,0,8278391520,0,28122132600,20428,25343461800,8623,238185,997,2242859966
2023-06-04 09:15:00.008005,0,63068109480,66747,53584043400,11659,25735860360,0,13824281520,0,75456350280,67758,58364634240,985,50014,0,30291592680,24786,20797703640,2215,14019355440,0,1214175600,0,33096908160,24885,22108243680,10493,237258,996,0,0,24967402560,23145,23199612840,8876,8864821080,0,7048371240,0,30005929800,24789,23871943800,10441,240991,934,0,22961136240,18816,24738751080,568,5568341400,0,8278391520,0,28122132600,18824,25343580600,7916,239429,1000,2242919957
2023-06-04 09:16:00.990787,0,63068109480,63344,53584472160,14104,25735915800,0,13824281520,0,75456350280,64895,58365067320,976,50012,0,30291592680,21568,20797854120,2527,14019369120,0,1214175600,0,33096908160,21715,22108394520,9180,236668,993,0,0,24967402560,20186,23199760440,10907,8864859600,0,7048371240,0,30005929800,22944,23872098600,9683,242941,880,0,22961136240,21590,24738881760,670,5568344640,0,8278391520,0,28122132600,21600,25343711280,9062,239321,1000,2242980940
2023-06-04 09:17:00.979946,0,63068109480,66565,53584888680,13188,25735977720,0,13824281520,0,75456350280,67859,58365489600,981,50007,0,30291592680,22645,20797994160,2836,14019385320,0,1214175600,0,33096908160,22822,22108535280,9649,236623,992,0,0,24967402560,21603,23199898680,9396,8864900640,0,7048371240,0,30005929800,23558,23872245120,9847,243211,917,0,22961136240,22316,24739020360,957,5568349680,0,8278391520,0,28122132600,22337,25343849880,9360,239554,999,2243040930
2023-06-04 09:18:00.970814,0,63068109480,69690,53585308440,12230,25736037840,0,13824281520,0,75456350280,70755,58365914400,985,49997,0,30291592680,24235,20798136720,2058,14019401160,0,1214175600,0,33096908160,24322,22108679280,10243,237547,996,0,0,24967402560,22258,23200037280,9870,8864939880,0,7048371240,0,30005929800,24348,23872391640,10229,242924,914,0,22961136240,23197,24739158600,302,5568354720,0,8278391520,0,28122132600,23199,25343988480,9799,237581,1000,2243100920
2023-06-04 09:19:00.951791,0,63068109480,60837,53585698320,11678,25736087880,0,13824281520,0,75456350280,61947,58366308600,982,50014,0,30291592680,26961,20798281080,1952,14019413760,0,1214175600,0,33096908160,27032,22108824000,11377,237689,997,0,0,24967402560,11021,23200142760,9333,8864975880,0,7048371240,0,30005929800,14442,23872507920,6294,241510,763,0,22961136240,22854,24739299000,393,5568356520,0,8278391520,0,28122132600,22858,25344128520,9645,238109,1000,2243160900
2023-06-04 09:20:00.940297,0,63068109480,66238,53586102600,5132,25736125680,0,13824281520,0,75456350280,66436,58366715400,997,50035,0,30291592680,23967,20798441640,1753,14019426000,0,1214175600,0,33096908160,24031,22108984920,10130,237337,997,0,0,24967402560,23911,23200256880,3203,8864998200,0,7048371240,0,30005929800,24125,23872627800,9983,242286,991,0,22961136240,18359,24739428240,176,5568359400,0,8278391520,0,28122132600,18360,25344258120,7781,237633,1000,2243220890
2023-06-04 09:21:00.931880,0,63068109480,63869,53586488160,5841,25736158080,0,13824281520,0,75456350280,64136,58367102400,996,50031,0,30291592680,20738,20798583120,2277,14019437880,0,1214175600,0,33096908160,20862,22109127120,8834,236384,994,0,0,24967402560,24445,23200377480,3159,8865016920,0,7048371240,0,30005929800,24648,23872750200,10184,242620,992,0,22961136240,18687,24739551720,406,5568361200,0,8278391520,0,28122132600,18691,25344381600,7884,238635,1000,2243280880
